,Tesseract,Ground_Truth
3411,Technlcal,Technical
3412,llnk,link
3413,mm,with
3414,Hlth,with
3415,SPIS,SPIs
3416,relatlns,relations
3417,actlvltles,activities
3418,ntertwned,intertwined
3419,thls,this
3420,commlttee,committee
3421,thlngs,things
3422,done,done
3423,What,What
3424,a,found
3425,a,a
3426,referrlng,referring
3427,m,to
3428,cm,CMA
3429,envlrnment,environment
3430,whlch,which
3431,cm,CMA
3432,speclflc,specific
3433,CommlttEE,Committee
3434,CommlttEE,Committee
3435,Commlttee,Committee
3436,cm,CMA
3437,A,Air
3438,Commlttee,Committee
3439,mm,with
3440,Commlttee,Committee
3441,posslble,possible
3442,Hlth,with
3443,thls,this
3444,commlttee,committee
3445,Hlth,with
3446,t,the
3447,mlnd,mind
3448,MCA,MCA
3449,by,by
3450,cm,CMA
3451,Commlttee,Committee
3452,Hlth,with
3453,commlttees,committees
3454,obvlousto,obviousto
3455,thls,this
3456,a,a
3457,notlce,notice
3458,mm,with
3459,mm,with
3460,Hlth,with
3461,asslstance,assistance
3462,CMAS,CMAs
3463,CommlttEE,Committee
3464,cm,CMA
3465,CMAS,CMAs
3466,Commlttee,Committee
3467,cm,CMA
3468,whlch,which
3469,polllng,polling
3470,partlclpatln,participating
3471,actlvltles,activities
3472,MCA,MCA
3473,Hlth,with
3474,whlch,which
3475,a,a
3476,Commlttee,Committee
3477,mm,him
3478,standard,standard
3479,whlch,which
3480,whlch,which
3481,cm,CMA
3482,entltled,entitled
3483,Approachlng,Approaching
3484,th,th
3485,CMA,CMA
3486,MCA,MCA
3487,addltlonal,additional
3488,m,to
3489,acrylonltrlle,acrylonitrile
3490,a,a
3491,acrylonltrlle,acrylonitrile
3492,a,a
3493,whlch,which
3494,plalntlffs,plaintiffs
3495,CMAS,CMAs
3496,actlvltles,activities
3497,m,to
3498,regardlng,regarding
3499,characterlstlcs,characteristics
3500,handllng,handling
3501,m,to
3502,thls,this
3503,m,to
3504,meetlng,meeting
3505,Commlttee,Committee
3506,cc,CRAC
3507,Commlttee,Committee
3508,prlvllege,privilege
3509,Hlth,with
3510,thls,this
3511,by,by
3512,prlvlleged,privileged
3513,by,by
3514,posslble,possible
3515,thls,this
3516,Commlttee,Committee
3517,posslble,possible
3518,ompllshlng,accomplishing
3519,cm,CMA
3520,sollcltlng,soliciting
3521,ndustrywe,industrywide
3522,thls,this
3523,thls,this
3524,persuaslve,persuasive
3525,oi,of
3526,a,a
3527,e,the
3528,CommlttEE,Committee
3529,a,a
3530,cm,CMA
3531,m,to
3532,QHp,Qwp
3533,m,to
3534,whlch,which
3535,slmllar,similar
3536,Hlth,with
3537,Hlth,with
3538,costsbeneflts,costsbenefits
3539,cm,CMA
3540,Commlttee,Committee
3541,dlscusslng,discussing
3542,v,US
3543,Usv,USV
3544,holdlng,holding
3545,clmlnal,criminal
3546,ms,his
3547,descrlbes,describes
3548,crlmlnal,criminal
3549,responslblllty,responsibility
3550,ndvdual,individual
3551,acnlvlty,activity
3552,cm,CMA
3553,Commlttee,Committee
3554,mlht,might
3555,ncreased,increased
3556,actlvlty,activity
3557,m,to
3558,opportunlty,opportunity
3559,rlghts,rights
3560,bulldlng,building
3561,technlcal,technical
3562,audltlng,auditing
3563,crls,crisis
3564,mm,with
3565,resultlng,resulting
3566,w,We
3567,Hlth,with
3568,mm,with
3569,Commlttees,Committees
3570,unmnnnented,unionoriented
3571,Irvlng,Irving
3572,Sellcoff,Selicoff
3573,by,by
3574,publlc,public
3575,hlghly,highly
3576,unflatterlng,unflattering
3577,a,a
3578,klnd,kind
3579,cm,CMA
3580,Hlth,with
3581,owp,Qwp
3582,Mollle,Mollie
3583,CommlttEE,Committee
3584,mm,with
3585,world,world
3586,cm,CMA
3587,cm,CMA
3588,whlch,which
3589,v,US
3590,n,in
3591,ILD,ILO
3592,cm,CMA
3593,sollcltatlon,solicitation
3594,thlrtyiflve,thirtyfive
3595,requestlng,requesting
3596,Hlth,with
3597,mplantng,implanting
3598,TSCA,TSCA
3599,cm,CMA
3600,tly,deleted
3601,exhlblt,F
3602,whlch,which
3603,conslsted,consisted
3604,cm,CMA
3605,Commlttee,Committee
3606,responslbl,responsible
3607,recelvlng,receiving
3608,speclflcally,specifically
3609,a,a
3610,a,a
3611,cm,CMA
3612,systemtcally,systematically
3613,entltled,entitled
3614,cm,CMA
3615,CMAS,CMAs
3616,OSHA,OSHA
3617,H,which
3618,mm,is
3619,convmcmg,convincing
3620,ms,This
3621,ndcates,indicates
3622,reanalysls,reanalysis
3623,exlstlng,existing
3624,pollcy,policy
3625,EPAS,EPAs
3626,dropplng,dropping
3627,Hlth,with
3628,CommlttEE,Committee
3629,whlch,which
3630,a,a
3631,by,by
3632,my,my
3633,owp,Qwp
3634,Mllle,Mollie
3635,mm,with
3636,a,a
3637,nghts,Rights
3638,a,a
3639,selectlng,selecting
3640,nfluencng,influencing
3641,th,the
3642,Washlngton,Washington
3643,II,II
3644,governmnt,government
3645,cm,CMA
3646,nd,And
3647,by,by
3648,understandlng,understanding
3649,klnd,kind
3650,exlsts,exists
3651,enterprlse,enterprise
3652,understandlng,understanding
3653,a,a
3654,corporatlon,corporation
3655,moblllzatlon,mobilization
3656,cm,CMA
3657,actlvltles,activities
3658,ry,Information
3659,mm,with
3660,cm,CIA
3661,a,a
3662,mm,with
3663,overslght,oversight
3664,responslbllltles,responsibilities
3665,Hlth,with
3666,resultlng,resulting
3667,thlnklng,thinking
3668,wrestllng,wrestling
3669,Hlth,with
3670,nvolvng,involving
3671,carclnogenclty,carcinogencity
3672,thls,this
3673,crltlcal,critical
3674,Th,The
3675,actlvltles,activities
3676,thls,this
3677,commlttee,committee
3678,by,by
3679,epidemiolglst,epidemiologist
3680,orlglnally,originally
3681,klnds,kinds
3682,Commlttee,Committee
3683,R,R
3684,artlcle,article
3685,technlcal,technical
3686,whlch,which
3687,prlnted,printed
3688,owp,Qwp
3689,ollle,Mollie
3690,a,a
3691,entltled,entitled
3692,A,A
3693,Epldemlolgy,Epidemiology
3694,mm,with
3695,Instltute,Institute
3696,thls,this
3697,Eu,firms
3698,a,a
3699,ﬁlms,firms
3700,Cuncll,Council
3701,actlvltles,activities
3702,ﬁlms,firms
3703,by,by
3704,supportlng,supporting
3705,enterprlse,enterprise
3706,uaeesses,successes
3707,establlshd,established
3708,Washlngton,Washington
3709,uc,DC
3710,mm,with
3711,prlnclple,principle
3712,e,ie
3713,n,it
3714,a,a
3715,lltlgatlon,litigation
3716,a,a
3717,lltlgatlon,litigation
3718,obtalnlng,obtaining
3719,foundatlns,foundations
3720,enterprlse,enterprise
3721,whlch,which
3722,cm,CMA
3723,Commlttees,Committees
3724,actlvltls,activities
3725,endorsemnt,endorsement
3726,sollclted,solicited
3727,Commlttee,with
3728,mm,Gulf
3729,cm,CMA
3730,concernlng,concerning
3731,Commlttee,Committee
3732,NACDSm,NACOSH
3733,owp,Qwp
3734,Mollle,Mollie
3735,by,by
3736,Hlth,with
3737,ncludng,including
3738,mm,with
3739,urglng,urging
3740,NCDSH,NACOSH
3741,length,length
3742,a,a
3743,deflnltlon,definition
3744,a,a
3745,cm,CMA
3746,Technlca,Technical
3747,flrst,first
3748,wlthdrawn,withdrawn
3749,permanently,permanently
3750,cm,CMA
3751,approxlmtely,approximately
3752,cm,CMA
3753,actlvltles,activities
3754,commlttees,committees
3755,Commlttee,Committee
3756,Commlttees,Committees
3757,nmmlttees,Committees
3758,dlstrlbuted,distributed
3759,country,country
3760,PACS,PACS
3761,cm,CMA
3762,Commlttee,Committee
3763,technlcal,ground
3764,relatlvly,relatively
3765,sufflclently,sufficiently
3766,testlfylng,testifying
3767,Vlsltln,visiting
3768,mm,with
3769,cm,CMA
3770,Synthetlc,Synthetic
3771,CMAS,CMAs
3772,mm,with
3773,mm,with
3774,a,a
3775,EPA,EPA
3776,synthetlc,synthetic
3777,n,in
3778,by,by
3779,mm,EDF
3780,a,a
3781,resultlng,resulting
3782,partlclpatlng,participating
3783,cm,CMA
3784,resultlng,resulting
3785,fundlng,funding
3786,anythlng,anything
3787,m,to
3788,thls,this
3789,before,before
3790,a,a
3791,emlsslons,emissions
3792,a,a
3793,thls,this
3794,a,a
3795,wlllful,willful
3796,my,my
3797,a,a
3798,m,to
3799,feaslblllty,feasibility
3800,a,a
3801,A,A
3802,d,item
3803,thls,this
3804,publlc,public
3805,thls,this
3806,achryllnltrlde,achrylinitride
3807,m,to
3808,a,a
3809,thls,crucial
3810,llttle,little
3811,cm,CMA
3812,QwplMollle,QwpMollie
3813,m,to
3814,thls,this
3815,a,a
3816,rlght,right
3817,cm,CMA
3818,addlng,adding
3819,a,a
3820,MI,MCA
3821,a,a
3822,cm,CMA
3823,Commlttees,Committees
3824,m,to
3825,m,to
3826,commlttees,committees
3827,establlshment,establishment
3828,Subcommlttee,Subcommittee
3829,JSEL,JSEL
3830,However,However
3831,thls,this
3832,problem,problem
3833,cm,CMA
3834,Commlttee,Committee
3835,mm,with
3836,a,a
3837,cm,CMA
3838,descrlptlon,description
3839,admlnlstrator,administrator
3840,hvng,having
3841,whlch,which
3842,pollcy,policy
3843,by,by
3844,recognltlon,recognition
3845,by,by
3846,admlnlstratlons,administrations
3847,cm,CMA
3848,boastlng,boasting
3849,consplcuous,conspicuous
3850,ndustry,industry
3851,Washlngton,Washington
3852,cm,CMA
3853,MCA,MCA
3854,lonistandlng,longstanding
3855,m,to
3856,restrlctlve,restrictive
3857,llmltatlons,limitations
3858,ndstrlal,industrial
3859,strength,strength
3860,a,a
3861,thls,this
3862,Vlws,views
3863,CMA,CMA
3864,hearlngs,hearings
3865,afflrmatlve,affirmative
3866,ntrbute,contribute
3867,rlsk,risk
3868,m,to
3869,regardng,regarding
3870,rlsks,risks
3871,emlsslons,emissions
3872,marketlng,marketing
3873,by,by
3874,cm,CMA
3875,whlch,which
3876,prlmarlly,primarily
3877,resonslblllty,responsibility
3878,grantlng,granting
3879,offs,offs
3880,CMA,CMA
3881,supplementlng,supplementing
3882,testlmny,testimony
3883,OSHA,OSHA
3884,MCA,MCA
3885,cm,CMA
3886,cmmlttee,committee
3887,ndustry,industry
3888,exprts,experts
3889,a,a
3890,thlrd,third
3891,thln,thing
3892,stndards,standards
3893,MCAS,MCAs
3894,DSHAS,OSHAs
3895,ABC,ABC
3896,whlch,which
3897,B,B
3898,QHp,Qwp
3899,Molll,Mollie
3900,cm,CMA
3901,E,E
3902,m,to
3903,Commlttee,Committee
3904,TASA,TASA
3905,mm,with
3906,admlnlstraor,administrator
3907,as,as
3908,llmlted,limited
3909,avaliablllty,availability
3910,testlng,testing
3911,facllltles,facilities
3912,cm,CMA
3913,battlestook,battlestook
3914,whlch,which
3915,standards,standards
3916,a,a
3917,whlch,which
3918,Hrs,were
3919,sufflclent,sufficient
3920,admlnlster,administer
3921,law,law
3922,EPA,EPA
3923,cm,CMA
3924,establlsh,establish
3925,that,that
3926,a,a
3927,nvolvng,involving
3928,contrlbuted,contributed
3929,by,by
3930,cm,CMA
3931,thls,this
3932,ommlttee,Committee
3933,Simply,simply
3934,consldratlon,consideration
3935,m,to
3936,rlsks,risks
3937,Hlth,with
3938,rlsk,risk
3939,ndustry,industry
3940,mm,with
3941,llablllty,liability
3942,actlvltles,activities
3943,QHp,Qwp
3944,Molll,Mollie
3945,a,a
3946,whlch,which
3947,whlch,which
3948,statltlcs,statistics
3949,Under,Under
3950,stewardshlp,stewardship
3951,reportlng,reporting
3952,confldentlallty,confidentiality
3953,cm,CMA
3954,ts,its
3955,prlnclple,principle
3956,ImprVed,Improved
3957,deflnltlon,definition
3958,mm,limits
3959,condltlons,conditions
3960,A,CMA
3961,cm,CMA
3962,a,a
3963,ppm,ppm
3964,TWA,TWA
3965,ppm,ppm
3966,ellmlnatl,eliminating
3967,ppm,ppm
3968,a,a
3969,a,a
3970,whlch,which
3971,months,months
3972,cm,CMA
3973,mm,with
3974,thls,this
3975,Conventlon,Convention
3976,ntervlewsto,interviewsto
3977,economlsts,economists
3978,Vlslted,visited
3979,MCAS,MCAs
3980,cm,CMA
3981,merglng,merging
3982,Drganlcs,Organics
3983,Commlttee,Committee
3984,a,a
3985,Chmlcals,Chemicals
3986,cm,CMA
3987,QHp,Qwp
3988,MoHl,MoHie
3989,dppolntng,disappointing
3990,mm,with
3991,submlttlng,submitting
3992,whlch,which
3993,whlch,which
3994,CMA,CMA
3995,cm,CMA
3996,OSHA,OSHA
3997,Commltee,Committee
3998,cm,CMA
3999,whlc,which
4000,meetlngs,meetings
4001,A,CMA
4002,cm,CMA
4003,mm,with
4004,EP,EP
4005,SDCMA,SOCMA
4006,m,this
4007,relatlonshlp,relationship
4008,cm,CMA
4009,meetlngs,meetings
4010,nvmlved,involved
4011,APIS,APIs
4012,requestlng,requesting
4013,ms,ETS
4014,th,th
4015,cm,CMA
4016,lobbylng,lobbying
4017,grroots,grassroots
4018,lobbylng,lobbying
4019,actlvltles,activities
4020,mmbershlp,membership
4021,nformatlon,information
4022,cm,CMA
4023,QwpMollli,QwpMollie
4024,cm,CMA
4025,CommlttEE,Committee
4026,Commlttee,Committee
4027,Commlttee,Committee
4028,Commlttee,CMA
4029,ncdent,incident
4030,conslstently,consistently
4031,commlttees,committees
4032,actlvltles,activities
4033,thls,this
4034,Commlttee,Committee
4035,LOBBYING,LOBBYING
4036,BILLs,BILLS
4037,coULD,COULD
4038,cm,CMA
4039,alllance,alliance
4040,mm,with
4041,lobbylng,lobbying
4042,ndvduals,individuals
4043,Hlshlng,wishing
4044,mm,with
4045,Congress,Congress
4046,Willlam,William
4047,J,J
4048,cm,CMA
4049,whlch,which
4050,subcrlbed,subscribed
4051,admlnlstrated,administrated
4052,by,by
4053,MCA,MCA
4054,nfmatlon,information
4055,whlch,which
4056,a,a
4057,I,I
4058,slmllar,similar
4059,whlch,which
4060,thls,this
4061,admlnlstered,administered
4062,speclflcally,specifically
4063,CMAS,CMAs
4064,y,as
4065,thls,issue
4066,echnlcal,Technical
4067,Commlttees,Committees
4068,whlch,which
4069,nnfldentlallty,confidentiality
4070,mply,simply
4071,reportlng,reporting
4072,cm,CMA
4073,prellmlnary,preliminary
4074,ndustry,industry
4075,carclnogencly,carcinogencity
4076,publlshlng,publishing
4077,Reglstry,Registry
4078,cm,CMA
4079,cm,CMA
4080,submlsslon,submission
4081,a,a
4082,by,by
4083,hanglng,changing
4084,ppmppm,ppmppm
4085,m,to
4086,ppmppm,ppmppm
4087,a,a
4088,c,of
4089,m,to
4090,a,a
4091,a,a
4092,sclentlflc,scientific
4093,whlch,which
4094,cm,CMA
4095,MCAS,MCAs
4096,emlsslons,emissions
4097,speclflcally,specifically
4098,m,to
4099,a,a
4100,wrltten,written
4101,by,by
4102,my,my
4103,EPAS,EPAs
4104,rlskszero,riskszero
4105,emlsslon,emission
4106,m,to
4107,actlng,acting
4108,Eu,further
4109,compelllng,compelling
4110,a,a
4111,MCAS,MCAs
4112,ndustry,industry
4113,month,month
4114,Asslstant,Assistant
4115,Washlngton,Washington
4116,partlclpatlon,participation
4117,cm,CMA
4118,Commlttee,Committee
4119,cm,CMA
4120,a,a
4121,o,of
4122,Technlcal,Technical
4123,Commlttee,Committee
4124,packaglng,packaging
4125,actlvltles,activities
4126,CMA,CMA
4127,cm,CMA
4128,RlsksBeneflt,RisksBenefit
4129,Analysls,Analysis
4130,whlch,which
4131,hlghllghted,highlighted
4132,carclnogenclty,carcinogencity
4133,rlskbeneflt,riskbenefit
4134,analysls,analysis
4135,mm,with
4136,understandln,understanding
4137,CMA,CMA
4138,cm,CMA
4139,a,a
4140,pollcy,policy
4141,thls,this
4142,commlttee,committee
4143,actlvltles,activities
4144,o,of
4145,speclflcally,specifically
4146,dented,identified
4147,Hlth,with
4148,CA,MCA
4149,ndvdual,individual
4150,partlclpatlng,participating
4151,o,of
4152,a,a
4153,Admlnlstrator,Administrator
4154,a,a
4155,a,a
4156,testlfy,testify
4157,cm,CMA
4158,respondlng,responding
4159,whlch,which
4160,ndcate,indicate
4161,llablllty,liability
4162,a,a
4163,manufacturlng,manufacturing
4164,QHp,Qwp
4165,Mollle,Mollie
4166,upplylng,supplying
4167,products,products
4168,ee,is
4169,reservlng,reserving
4170,cm,CMA
4171,Flemlng,Fleming
4172,CIITS,CIITs
4173,th,the
4174,Instltutes,Institutes
4175,testlng,testing
4176,dlstlbuted,distributed
4177,estng,testing
4178,by,by
4179,mm,with
4180,a,a
4181,speclflcally,specifically
4182,mm,with
4183,cm,CMA
4184,a,a
4185,plastlcs,plastics
4186,BM,BCM
4187,Styrlne,Styrine
4188,Acryllonlterlle,Acryiloniterile
4189,Trlchlorethylene,Trichlorethylene
4190,EDC,EDC
4191,Eplchllorohydrln,Epichilorohydrin
4192,Reslns,Resins
4193,Dlxlde,Dioxide
4194,CMAS,CMAs
4195,orlglnal,original
4196,cm,CMA
4197,cm,CMA
4198,plntlffs,plaintiffs
4199,plalntlffs,plaintiffs
4200,dld,did
4201,Commlttee,Committee
4202,advlslng,advising
4203,concernlng,concerning
4204,testlng,testing
4205,dented,identified
4206,mm,with
4207,envlronment,environment
4208,posltlons,positions
4209,mm,with
4210,commlttees,committees
4211,egardlng,regarding
4212,controlllng,controlling
4213,cm,CMA
4214,membershlp,membership
4215,thls,this
4216,commlttee,committee
4217,llmlted,limited
4218,m,to
4219,employer,employer
4220,cm,CMA
4221,Prlnclples,Principles
4222,Appllcable,Applicable
4223,responslblltles,responsibilities
4224,asslgned,assigned
4225,Prnclples,Principles
4226,o,of
4227,whlch,which
4228,actlvltles,activities
4229,orlglnal,original
4230,thls,this
4231,mm,with
4232,cm,CMA
4233,Commlttee,Committee
4234,mm,with
4235,MCA,MCA
4236,AC,CRAC
4237,a,a
4238,cm,CMA
4239,Washlngton,Washington
4240,CommlttEE,Committee
4241,mm,with
4242,cm,CMA
4243,Thksgvng,Thanksgiving
4244,EPA,EPA
4245,Dlstrlbutl,Distribution
4246,Emlsslons,Emissions
4247,Rlsks,Risks
4248,mm,FIRL
4249,whlch,which
4250,wouldnt,wouldnt
4251,lDD,approximately
4252,a,a
4253,wlth,with
4254,cm,CMA
4255,plastlcs,plastics
4256,flrst,first
4257,descrlbes,describes
4258,publlshed,published
4259,flammablllty,flammability
4260,testlng,testing
4261,QHp,Qwp
4262,Mllle,Mollie
4263,VCR,VCRC
4264,cm,CMA
4265,reportlng,reporting
4266,m,to
4267,ndustry,industry
4268,whlch,which
4269,rldlculous,ridiculous
4270,predlctlon,prediction
4271,lnefflclent,inefficient
4272,reportlng,reporting
4273,reportlng,reporting
4274,dld,did
4275,ndustry,industry
4276,whlch,which
4277,mm,with
4278,mm,with
4279,toxlclty,toxicity
4280,ndcates,indicates
4281,a,a
4282,actlvltles,activities
4283,thls,this
4284,lltlgatlon,litigation
4285,cm,CMA
4286,ndustry,industry
4287,whlch,which
4288,a,a
4289,flndlngs,findings
4290,a,a
4291,whlch,which
4292,prlnclpally,principally
4293,health,health
4294,actlvltles,activities
4295,commlttee,committee
4296,y,liability
4297,ndustry,industry
4298,eg,eg
4299,redactlng,redacting
4300,portlns,portions
4301,admlttedly,admittedly
4302,prlvlleged,privileged
4303,whlch,which
4304,by,by
4305,ncontent,inconsistent
4306,Hlth,with
4307,CMAS,CMAs
4308,Conslstent,Consistent
4309,Hlth,with
4310,OSHA,OSHA
4311,QHp,Qwp
4312,ollle,Mollie
4313,Technlcal,Technical
4314,Technlcal,Technical
4315,Commlttees,Committees
4316,Commlttee,Committee
4317,Commlttee,Committee
4318,Commlttee,Committee
4319,shouldnt,shouldnt
4320,meetlngs,meetings
4321,commlttees,committees
4322,dlstrlbuted,distributed
4323,Hlth,with
4324,whlch,which
4325,dlstrlbuted,distributed
4326,Hlthln,within
4327,cm,CMA
4328,a,a
4329,Unlverslty,University
4330,Loulsvllle,Louisville
4331,ellmlnate,eliminate
4332,deductlblllty,deductibility
4333,E,E
4334,B,B
4335,a,a
4336,cm,CMA
4337,Commlttee,Committee
4338,by,by
4339,MCAS,MCAs
4340,mm,with
4341,behalf,behalf
4342,QHp,Qwp
4343,ollle,Mollie
4344,Dbservatlns,Observations
4345,overwhelmlng,overwhelming
4346,Technlca,Technical
4347,Commlttee,Committee
4348,by,by
4349,declslve,decisive
4350,resultlng,resulting
4351,regardln,regarding
4352,cm,CMA
4353,commlttee,committee
4354,consolldted,consolidated
4355,a,a
4356,Commlttee,Committee
4357,Dlstrlbutlon,Distribution
4358,Commlttes,Committees
4359,a,a
4360,Dlstrlbutlon,Distribution
4361,commlttee,committee
4362,Slmllarl,similarly
4363,Commlttee,Committee
4364,Commlttee,Committee
4365,Plastlcs,Plastics
4366,Commlttee,Committee
4367,conslstently,consistently
4368,thls,this
4369,cm,CMA
4370,Commlttee,Committee
4371,Commltte,Committee
4372,flfteen,fifteen
4373,Th,This
4374,ndvdual,individual
4375,commlttee,committee
4376,llmlted,limited
4377,mm,With
4378,onsithlrd,onethird
4379,membershlp,membership
4380,annually,annually
4381,plalntlffs,plaintiffs
4382,TSCA,TSCA
4383,CMAS,CMAs
4384,MCA,MCA
4385,whlch,which
4386,cm,CMA
4387,whlch,which
4388,CMAS,CMAs
4389,Technlcl,Technical
4390,Commlttees,Committees
4391,thls,this
4392,a,a
4393,constltuted,constituted
4394,TSCA,TSCA
4395,by,by
4396,pollcy,policy
4397,nvolvng,involving
4398,a,a
4399,partlcular,particular
4400,thlngs,things
4401,a,a
4402,a,a
4403,precedentisettlng,precedentsetting
4404,nrstqmpressmn,firstimpression
4405,prlnclple,principle
4406,a,a
4407,thls,this
4408,whlch,which
4409,admlnlstratlbn,administration
4410,by,voting
4411,whlch,which
4412,a,a
4413,A,A
4414,lobbylng,lobbying
4415,whlch,which
4416,by,by
4417,communlty,community
4418,a,a
4419,crltlcl,critical
4420,allles,allies
4421,owps,Qwp
4422,Mollle,Mollie
4423,Lglslatlve,Legislative
4424,respondlng,responding
4425,speclflc,specific
4426,pendlng,pending
4427,leglsltlve,legislative
4428,whlch,which
4429,mlght,might
4430,wrltten,written
4431,thls,this
4432,v,US
4433,v,US
4434,publlc,public
4435,plalnlffs,plaintiffs
4436,thls,this
4437,a,all
4438,by,by
4439,Consltent,Consistent
4440,Hlth,with
4441,cm,CMA
4442,chlld,child
4443,recelvlng,receiving
4444,consleratlon,consideration
4445,by,by
4446,cm,CMA
4447,Technlcal,Technical
4448,Hlth,with
4449,Drlglnally,Originally
4450,AlHCs,AlHCs
4451,A,A
4452,supportlng,supporting
4453,compnes,companies
4454,mm,with
4455,pollce,policies
4456,Dwsl,Qwp
4457,Mollle,Mollie
4458,cm,CMA
4459,Commlttee,Committee
4460,hearlngs,hearings
4461,cm,CMA
4462,CMAS,CMAs
4463,APIS,APIs
4464,A,OSHA
4465,cm,CMA
4466,submlsslon,submission
4467,nVstgatlons,investigations
4468,ndcated,indicated
4469,a,a
4470,Pantry,Pantry
4471,whlch,which
4472,a,a
4473,SC,scientists
4474,entlsts,at
4475,flfteen,at
4476,Hll,will
4477,cm,CMA
4478,mm,possible
4479,foundatlons,foundations
4480,lwp,Qwp
4481,Mollle,Mollie
4482,I,I
4483,Commlttee,Committee
4484,responslblllty,responsibility
4485,concernlng,concerning
4486,Assclatlons,Associations
4487,Commlttee,Committee
4488,prlnclple,principle
4489,recognltlon,recognition
4490,llvlng,living
4491,by,by
4492,whlch,which
4493,by,by
4494,p,is
4495,m,to
4496,by,by
4497,m,to
4498,survlvlng,surviving
4499,thn,then
4500,recelvlng,receiving
4501,beneflts,benefits
4502,retlrlng,retiring
4503,cntlnuous,continuous
4504,whohas,whohas
4505,c,f
4506,m,to
4507,thlrd,third
4508,m,to
4509,th,the
4510,flrst,first
4511,ndvdual,individual
4512,by,by
4513,a,a
4514,whlch,which
4515,startlng,starting
4516,mm,with
4517,quallfy,qualify
4518,fundlng,funding
4519,wm,While
4520,e,it
4521,m,to
4522,MCAS,MCAs
4523,beneflts,benefits
4524,Th,The
4525,ly,ly
4526,F,F
4527,M,M
4528,NDVEMBE,NOVEMBER
4529,mrnlng,morning
4530,overrldden,overridden
4531,th,the
4532,a,a
4533,th,the
4534,actlvlty,activity
4535,Erllls,Brills
4536,unflnlshed,unfinished
4537,whlch,which
4538,a,a
4539,Txlc,Toxic
4540,ACt,Act
4541,PL,PL
4542,establlhlng,establishing
4543,dlstrlbutlon,distribution
4544,lastidltch,lastditch
4545,brlng,bring
4546,m,to
4547,k,k
4548,v,V
4549,PL,PL
4550,by,by
4551,v,US
4552,credlts,credits
4553,CMAD,CMA
4554,mm,with
4555,EPA,EPA
4556,a,a
4557,a,a
4558,dumplng,dumping
4559,Hlthln,within
4560,whlc,which
4561,A,A
4562,strlcter,stricter
4563,lobbylng,lobbying
4564,whlch,which
4565,a,a
4566,AFLCID,AFLCIO
4567,reprtlng,reporting
4568,by,by
4569,c,c
4570,Vlctlm,victim
4571,a,a
4572,flllbuster,filibuster
4573,kllllng,killing
4574,mghly,highly
4575,htly,hotly
4576,facllltles,facilities
4577,md,mid
4578,munlclpalltles,municipalities
4579,a,a
4580,ACt,Act
4581,a,a
4582,startlng,starting
4583,blll,bill
4584,a,a
4585,commlsslon,commission
4586,a,a
4587,dlsmantllng,dismantling
4588,I,I
4589,rehmngmarkemng,refiningmarketing
4590,Vertl,vertical
4591,a,a
4592,commlttee,committee
4593,Commlttee,Committee
4594,a,a
4595,mm,with
4596,reportlng,reporting
4597,a,the
4598,whlch,which
4599,m,to
4600,strlct,strict
4601,strlpimlnlng,stripmining
4602,ndustry,industry
4603,Immlsslon,Commission
4604,mmrsnmnou,ADMINISTRATION
4605,pnmmzms,PREPARING
4606,vsmg,Using
4607,ms,his
4608,Jlmmy,Jimmy
4609,orgng,organizing
4610,ms,his
4611,Admlnlstratlon,Administration
4612,mm,with
4613,Admlnlstratlon,Administration
4614,brleflng,briefing
4615,Klsslnger,Kissinger
4616,thls,this
4617,Hlth,with
4618,transltlon,transition
4619,uncertnty,uncertainty
4620,by,by
4621,curloslty,curiosity
4622,Jlmmy,Jimmy
4623,antliestabllshment,antiestablishment
4624,tls,tles
4625,mm,with
4626,Bht,ht
4627,a,he
4628,a,a
4629,transltlon,transition
4630,crltlc,critic
4631,n,n
4632,Jlmmy,Jimmy
4633,establlshment,establishment
4634,m,to
4635,m,to
4636,mechanlsms,mechanisms
4637,mm,with
4638,goVrnment,government
4639,thls,this
4640,ndcate,indicate
4641,a,a
4642,a,a
4643,offlclals,officials
4644,fr,for
4645,plannlng,planning
4646,Hlth,with
4647,departlng,departing
4648,offlclals,officials
4649,Admlnltratlon,Administration
4650,by,by
4651,ndcatlons,indications
4652,m,to
4653,polltlcal,political
4654,Prsldentielect,Presidentelect
4655,confrontlng,confronting
4656,Hls,His
4657,mm,with
4658,m,to
4659,touchlng,touching
4660,andrerganlzatlon,andreorganization
4661,Democrtc,Democratic
4662,thls,this
4663,whlch,which
4664,by,by
4665,attntlon,attention
4666,m,to
4667,by,by
4668,by,by
4669,b,be
4670,a,a
4671,ms,his
4672,CMADI,CMA
4673,by,by
4674,t,the
4675,e,Democratic
4676,posslble,possible
4677,mm,With
4678,m,to
4679,flmly,firmly
4680,provldlng,providing
4681,m,to
4682,credlts,credits
4683,antktrus,antitrust
4684,a,a
4685,a,a
4686,accompllsh,accomplish
4687,strlct,strict
4688,Contrl,Control
4689,strlct,strict
4690,mnmg,mining
4691,m,m
4692,mm,with
4693,a,a
4694,strlpimlned,stripmined
4695,Hlth,with
4696,Hlth,with
4697,efflclency,efficiency
4698,subsldles,subsidies
4699,synthetlc,synthetic
4700,FCES,FACES
4701,LEADERS,LEADERS
4702,a,a
4703,a,
4704,commlttees,committees
4705,commlttee,committee
4706,jurlsdlctlons,jurisdictions
4707,subcommlttee,subcommittee
4708,a,a
