,Tesseract,Ground_Truth,IS_error
1343,has,has,False
1344,stressed,stressed,False
1345,the,the,False
1346,1mortance,importance,False
1347,of,of,False
1348,strengthened,strengthened,False
1349,patent,patent,False
1350,protectlon,protection,False
1351,to,to,False
1352,v.5.,U.S.,True
1353,technologlcal,technological,False
1354,"avancement,","advancement,",False
1355,contlnued,continued,False
1356,economc,economic,False
1357,"recovery,","recovery,",False
1358,and,and,False
1359,productlvlty.,productivity.,True
1360,The,The,False
1361,PATC,PATC,False
1362,also,also,False
1363,played,played,False
1364,an,an,False
1365,1mportant,important,False
1366,communlcatlons,communications,False
1367,role,role,False
1368,1n,in,False
1369,1n,in,False
1370,keeplng,keeping,False
1371,CMA'S,CMA's,True
1372,m-mber,member,False
1373,companles,companies,False
1374,apprlsed,apprised,True
1375,of,of,False
1376,developments,developments,False
1377,on,on,False
1378,1ndustrlal,industrial,False
1379,property,property,False
1380,rlghts,rights,True
1381,lssues.,issues.,False
1382,The,The,False
1383,Commlttee,Committee,True
1384,communlcated,communicated,False
1385,mm,with,True
1386,the,the,False
1387,Board,Board,False
1388,of,of,False
1389,Dlrectors,Directors,False
1390,and,and,False
1391,m-mber,member,False
1392,companles,companies,False
1393,on,on,False
1394,a,a,True
1395,number,number,False
1396,of,of,False
1397,patent,patent,False
1398,lssues,issues,False
1399,through,through,False
1400,mechanlsms,mechanisms,True
1401,such,such,False
1402,as,as,False
1403,Actlon,Action,False
1404,Advlsorles.,"Advisories,",False
1405,other,other,False
1406,cm,CMA,True
1407,"reports,","reports,",False
1408,and,and,False
1409,newsletters.,newsletters.,False
1410,By,By,True
1411,playlng,playing,False
1412,thls,this,True
1413,colmnunlcatlons,coimnunications,False
1414,role.,"role,",False
1415,the,the,False
1416,Commlttee,Committee,True
1417,not,not,False
1418,only,only,False
1419,dlssemlnated,disseminated,False
1420,1nformatlon,information,False
1421,to,to,False
1422,ember,member,False
1423,"companles,","companies,",False
1424,but,but,False
1425,also,also,False
1426,became,became,False
1427,1nfomed,informed,False
1428,on,on,False
1429,the,the,False
1430,posltlons,positions,False
1431,of,of,False
1432,the,the,False
1433,members,members,False
1434,-n,on,False
1435,patent,patent,False
1436,lssues.,issues.,False
1437,The,The,False
1438,"Commlttee,","Committee,",True
1439,1n,in,False
1440,"turn,","turn,",False
1441,was,was,False
1442,then,then,False
1443,better,better,False
1444,technlcal,technical,True
1445,or,or,False
1446,leal.,legal.,False
1447,ertten,Written,False
1448,comnents,comnents,False
1449,were,were,False
1450,prepared,prepared,False
1451,and,and,False
1452,advocacy,advocacy,False
1453,actlvltles,activities,True
1454,carrled,carried,False
1455,out,out,False
1456,by,by,True
1457,ommlttee,Committee,True
1458,"members,","members,",False
1459,other,other,False
1460,deslgnated,designated,False
1461,CMA,CMA,False
1462,member,member,False
1463,company,company,False
1464,"representatlves,","representatives,",False
1465,and,and,False
1466,CMA,CMA,False
1467,staff.,staff.,False
1468,We,We,False
1469,also,also,False
1470,do,do,False
1471,not,not,False
1472,antlelpate,anticipate,False
1473,any,any,False
1474,major,major,False
1475,cm,CMA,True
1476,cm,CMA,True
1477,EXHIBIT,EXHIBIT,False
1478,N,N,True
1479,PURPOSE,PURPOSE,False
1480,OF,OF,False
1481,EXE,EXECUTIVE,False
1482,TIVE,COMMITTEE,False
1483,COMMITTEE,AND,False
1484,AND,BOARD,False
1485,13mm:,OF,True
1486,ummmns,DIRECTORS,True
1487,REVIEW,REVIEW,False
1488,The,The,False
1489,Envlronmental,Environmental,False
1490,Management,Management,False
1491,Conmlttee's,Conmittee's,True
1492,(Ema),(EMC),False
1493,Ad,Ad,False
1494,Hoc,Hoc,False
1495,Task,Task,False
1496,Group,Group,False
1497,on,on,False
1498,Waste,Waste,False
1499,Mlnlmlzatlon,Minimization,True
1500,presented,presented,False
1501,a,a,True
1502,status,status,False
1503,report,report,False
1504,descrlblng,describing,True
1505,the,the,False
1506,waste,vaste,False
1507,mlnlmlzatlon,minimization,True
1508,lssue's,issue's,False
1509,1mportance,importance,False
1510,and,and,False
1511,a,a,True
1512,posslble,possible,True
1513,CMA,CMA,False
1514,program,program,False
1515,at,at,False
1516,the,the,False
1517,m,to,True
1518,obtaln,obtain,False
1519,appr-Val,approval,True
1520,of,of,False
1521,a,a,True
1522,recommended,recommended,False
1523,CMA,CMA,False
1524,program.,program.,False
1525,BACKGROUND,BACKGROUND,False
1526,(RCRA7,(RCRA),True
1527,requlre,require,False
1528,companles,companies,False
1529,to,to,False
1530,establlsh,establish,True
1531,Voluntary,voluntary,False
1532,waste,waste,False
1533,mlnlmlzatlon,minimization,True
1534,programs,programs,False
1535,and,and,False
1536,c-rtlfy,certify,True
1537,actlons.,actions.,False
1538,Several,Several,False
1539,states,states,False
1540,have,have,False
1541,1n,in,False
1542,place,place,False
1543,or,or,False
1544,are,are,False
1545,mlnlmlzatlon,minimization,True
1546,enforts,efforts,False
1547,are,are,False
1548,also,also,False
1549,bemg,being,False
1550,scrutlnlzed,scrutinized,True
1551,when,when,False
1552,pemlts,permits,False
1553,for,for,False
1554,waste,waste,False
1555,facllltl-s,facilities,True
1556,are,are,False
1557,requested.,requested.,False
1558,Alternatlves,Alternatives,False
1559,for,for,False
1560,stronger,stronger,False
1561,federal,federal,False
1562,actlon,action,False
1563,are,are,False
1564,dlsussed,discussed,False
1565,1n,in,False
1566,recent,recent,False
1567,reports,reports,False
1568,to,to,False
1569,Congress,Congress,False
1570,by,by,True
1571,the,the,False
1572,Offlce,Office,False
1573,of,of,False
1574,Technology,Technology,False
1575,Ass-ssment,Assessment,True
1576,and,and,False
1577,EPA.,EPA.,True
1578,Applying,Applying,False
1579,greater,greater,False
1580,pressure,pressure,False
1581,to,to,False
1582,force,force,False
1583,zero,zero,False
1584,dlscharge,discharge,True
1585,and,and,False
1586,opposltlon,opposition,False
1587,to,to,False
1588,51mm;,siting,True
1589,new,new,False
1590,treatment,treatment,False
1591,and,and,False
1592,dlsposal,disposal,False
1593,facilities.,facilities.,False
1594,mlnlmlzatlon,minimization,True
1595,pograms,programs,False
1596,Will,will,False
1597,be,be,False
1598,evaluated,evaluated,False
1599,by,by,True
1600,Congress,Congress,False
1601,1n,in,False
1602,hearlngs,hearings,True
1603,beglnnlng,beginning,True
1604,1n,in,False
1605,1-37.,1987.,True
1606,If,If,False
1607,1ndustry,industry,False
1608,cannot,cannot,False
1609,demonstrate,demonstrate,False
1610,sufflclent,sufficient,True
1611,adopt,adopt,False
1612,extreme,extreme,False
1613,.mendments,amendments,False
1614,as,as,False
1615,part,part,False
1616,of,of,False
1617,RCRA'S,RCRA's,True
1618,reauthorlzatlon,reauthorization,False
1619,whlch,which,True
1620,1:,is,True
1621,Scheduled,scheduled,False
1622,1n,in,False
1623,1-39.,1988.,True
1624,The,The,False
1625,amendments,amendments,False
1626,could,could,False
1627,1nclude,include,False
1628,such,such,False
1629,undeslrable,undesirable,False
1630,process,process,False
1631,"restrl-tlons,","restrictions,",True
1632,and,and,False
1633,outslde,outside,False
1634,audlts.,audits.,True
1635,Companles,Companies,False
1636,are,are,False
1637,.lready,already,False
1638,confronted,confronted,False
1639,Hlth,with,True
1640,1ncreaslng,increasing,False
1641,costs,costs,False
1642,of,of,False
1643,waste,vaste,False
1644,dlsposal,disposal,False
1645,as,as,False
1646,E?,EPA,True
1647,expands,expands,False
1648,the,the,False
1649,scope,scope,False
1650,of,of,False
1651,wastes,wastes,False
1652,regulated,regulated,False
1653,as,as,False
1654,hazardous,hazardous,False
1655,under,under,False
1656,RCRA.,"RCRA,",True
1657,laments,implements,False
1658,further,further,False
1659,land,land,False
1660,dlsposal,disposal,False
1661,pretreatment,pretreatment,False
1662,requlrements.,"requirements,",False
1663,.nd,and,False
1664,further,further,False
1665,tlghtens,tightens,True
1666,controls,controls,False
1667,over,over,False
1668,waste,waste,False
1669,management,management,False
1670,practlces.,practices.,False
1671,Man,Many,False
1672,companles,companies,False
1673,have,have,False
1674,slgnlflcantly,significantly,True
1675,reduced,reduced,False
1676,thelr,their,False
1677,waste.,waste.,False
1678,demonstrate,demonstrate,False
1679,1nustryw1de,industrywide,True
1680,"progress,","progress,",False
1681,and,and,False
1682,F.?A's,F.PA's,True
1683,programs,programs,False
1684,are,are,False
1685,under,under,False
1686,attack.,attack.,False
1687,III.,III.,True
1688,TIMING,TIMING,False
1689,reauthorlzatlo,reauthorization.,False
1690,mlnlmlzatlon,minimization,True
1691,pograms,programs,False
1692,and,and,False
1693,data,data,False
1694,bases,bases,False
1695,1n,in,False
1696,"1937,","1987,",True
1697,whlch,which,True
1698,1:,it,True
1699,must,must,False
1700,do,do,False
1701,to,to,False
1702,reduce,reduce,False
1703,Congres-lonal,Congressional,False
1704,overslght,oversight,True
1705,pressures.,pressures.,False
1706,CMA,CMA,False
1707,needs,needs,False
1708,to,to,False
1709,start,start,False
1710,1::,its,True
1711,program,program,False
1712,early,early,False
1713,n,in,True
1714,to,to,False
1715,provlde,provide,False
1716,asslstance,assistance,True
1717,to,to,False
1718,EPA,EPA,False
1719,and,and,False
1720,to,to,False
1721,develop,develop,False
1722,an,an,False
1723,establlshlng,establishing,True
1724,a,a,True
1725,program,program,False
1726,and,and,False
1727,data,data,False
1728,base,base,False
1729,"early,","early,",False
1730,cm,CMA,True
1731,Will,will,False
1732,be,be,False
1733,1n,in,False
1734,the,the,False
1735,best,best,False
1736,cm,CMA,True
1737,pnoposw,PROPOSED,False
1738,WASTE,WASTE,False
1739,MINIMIZATIDN,MINIMIZATION,False
1740,woman,PROGRAM,False
1741,oh,Ob,False
1742,actlve,active,False
1743,nform,Inform,False
1744,and,and,False
1745,asslse,assise,False
1746,member,member,False
1747,companles,companies,False
1748,1n,in,False
1749,reduclng,reducing,False
1750,wastes,wastes,False
1751,at,at,False
1752,the,the,False
1753,"sourCE,","source,",False
1754,1ncreaslng,increasing,False
1755,"recycle,","recycle,",False
1756,and,and,False
1757,reduclng,reducing,False
1758,dlsposal,disposal,False
1759,rlsks.,risks.,True
1760,o,o,True
1761,avoiding,avoiding,False
1762,oneros,onerous,False
1763,leglslatlon,legislation,False
1764,that,that,False
1765,mandates,mandates,False
1766,waste,waste,False
1767,reductlon;,reduction;,False
1768,o,o,True
1769,limiting,limiting,False
1770,dlspoal,disposal,False
1771,costs,costs,False
1772,and,and,False
1773,future,future,False
1774,cleanup,cleanup,False
1775,llablllty;,liability;,True
1776,and,and,False
1777,o,o,True
1778,Proposed,Proposed,False
1779,CMA,CMA,False
1780,P-sltlon,Position,True
1781,on,on,False
1782,Waste,Waste,False
1783,Mlnlmlzatlon,Minimization,True
1784,member,member,False
1785,companls,companies,False
1786,have,have,False
1787,programs,programs,False
1788,1n,in,False
1789,place,place,False
1790,that,that,False
1791,have,have,False
1792,resulted,resulted,False
1793,1n,in,False
1794,achleve,achieve,False
1795,furthe,further,False
1796,"progress,","progress,",False
1797,1nd1v1dual,individual,True
1798,companles,companies,False
1799,are,are,False
1800,encouraged,encouraged,False
1801,to,to,False
1802,opportunltles,opportunities,False
1803,hat,that,False
1804,exlst,exist,False
1805,1n,in,False
1806,thelr,their,False
1807,operatlons.,operations.,False
1808,am,CMA,False
1809,will,will,False
1810,1nfom,inform,False
1811,and,and,False
1812,Actlvltles,Activities,True
1813,An,An,False
1814,1ndustry,industry,False
1815,pr-gram,program,True
1816,to,to,False
1817,promote,promote,False
1818,and,and,False
1819,55515:,assist,True
1820,member,member,False
1821,companles,companies,False
1822,1n,in,False
1823,developmg,developing,False
1824,and,and,False
1825,carrylng,carrying,True
1826,out,out,False
1827,waste,waste,False
1828,mlnlmlzatlon,minimization,True
1829,programs,programs,False
1830,"(1.e.,","(i.e.,",True
1831,"workshops,","workshops,",False
1832,res-urce,resource,False
1833,"manuals,","manuals,",False
1834,"newsletter,","newsletter,",False
1835,and,and,False
1836,swards,swards,False
1837,program.,program).,False
1838,Leglslatlve,Legislative,False
1839,an,and,False
1840,regulatory,regulatory,False
1841,advocacy,advocacy,False
1842,support,support,False
1843,to,to,False
1844,address,address,False
1845,waste,waste,False
1846,mlnlmlzatlon,minimization,True
1847,lsues,issues,False
1848,before,before,False
1849,Congress,Congress,False
1850,and,and,False
1851,EPA.,EPA.,True
1852,Measurement,Measurement,False
1853,of,of,False
1854,waste,waste,False
1855,mlnlmlzatlon,minimization,True
1856,progress,progress,False
1857,1n,in,False
1858,order,order,False
1859,to,to,False
1860,document,document,False
1861,progress,progress,False
1862,11.?,"(i.e-,",True
1863,unlfom,uniform,False
1864,deflnltlons,definitions,True
1865,of,of,False
1866,key,key,False
1867,"terms,","terms,",False
1868,deflnltlon,definition,True
1869,of,of,False
1870,measurement,measurement,False
1871,neds.,"needs,",False
1872,evaluatlon,evaluation,False
1873,of,of,False
1874,exlstlng,existing,True
1875,data,data,False
1876,systems,systems,False
1877,and,and,False
1878,o,o,True
1879,Communlcatlons,Communications,False
1880,of,of,False
1881,member,member,False
1882,company,company,False
1883,and,and,False
1884,1ndustry,industry,False
1885,waste,waste,False
1886,development,development,False
1887,of,of,False
1888,a,a,True
1889,strategy,strategy,False
1890,to,to,False
1891,effectlvely,effectively,False
1892,communlcate,communicate,False
1893,1ndustryw1de,industrywide,True
1894,d,and,True
1895,anecdotal,anecdotal,False
1896,1nformatlon,information,False
1897,to,to,False
1898,targeted,targeted,False
1899,audlences,audiences,False
1900,on,on,False
1901,a,a,True
1902,contlnulng,continuing,False
1903,b.5157.,basis).,True
1904,Further,Further,False
1905,cm,CMA,True
1906,pr-grammatlc,programmatic,True
1907,"actlon,","action,",False
1908,"1.e.,","i.e.,",True
1909,establlshlng,establishing,True
1910,percentage,percentage,False
1911,reductlon,reduction,False
1912,goal,goals,False
1913,slmllar,similar,True
1914,m,to,True
1915,CMA'S,CMA's,True
1916,snsrgy,snsrgy,True
1917,conservatlon,conservation,False
1918,program,program,False
1919,or,or,False
1920,luvplementatlo,implementation,False
1921,"steps,","steps,",False
1922,may,may,False
1923,ha,ba,False
1924,consldered,considered,False
1925,and,and,False
1926,recommended,recommended,False
1927,1n,in,False
1928,the,the,False
1929,future,future,False
1930,to,to,False
1931,the,the,False
1932,xecutlve,Executive,False
1933,Comlttee,Comittee,False
1934,and,and,False
1935,Board,Board,False
1936,of,of,False
1937,Dlrectors,Directors,False
1938,on,on,False
1939,an,an,False
1940,as,as,False
1941,needed,needed,False
1942,basls.,basis.,False
1943,cm,CMA,True
1944,RESAHJ'KCE,RES^HJKCE,True
1945,NEE!,NEEDS,True
1946,To,To,False
1947,support,support,False
1948,th-,the,False
1949,four,four,False
1950,actlvltles,activities,True
1951,noted,noted,False
1952,"above,","above,",False
1953,a,a,True
1954,portlon,portion,False
1955,of,of,False
1956,a,a,True
1957,professlonal,professional,False
1958,-rson,person,False
1959,and,and,False
1960,some,some,False
1961,support,support,False
1962,staff,staff,False
1963,time,time,False
1964,Will,will,False
1965,be,be,False
1966,necessary.,necessary.,False
1967,A,A,True
1968,-quest,request,False
1969,for,for,False
1970,the,the,False
1971,necessary,necessary,False
1972,personnel,personnel,False
1973,1:,is,True
1974,belng,being,False
1975,Dutslde,Outside,False
1976,Purch.sed,Purchased,True
1977,Servlces,Services,False
1978,Impact,Impact,False
1979,The,The,False
1980,EMC,EMC,False
1981,has,has,False
1982,r-comended,recomended,False
1983,$ADK,$A0K,True
1984,fundlng,funding,True
1985,for,for,False
1986,outslde,outside,False
1987,purchased,purchased,False
1988,servlces,services,False
1989,as,as,False
1990,p.rt,part,False
1991,of,of,False
1992,thelr,their,False
1993,FT,FT,True
1994,97/99,87/88,True
1995,budget,budget,False
1996,proposals.,proposals.,False
1997,Member,Member,False
1998,Compan,Company,False
1999,Resources,Resources,False
2000,Impact,Impact,False
2001,Approxlmately,Approximately,False
2002,m,to,True
2003,member,member,False
2004,company,company,False
2005,Volunteers,volunteers,False
2006,will,will,False
2007,be,be,False
2008,needed,needed,False
2009,to,to,False
2010,carry,carry,False
2011,thls,this,True
2012,effort,effort,False
2013,forward,forward,False
2014,through,through,False
2015,deslgn,design,False
2016,and,and,False
2017,unplementatlon.,implementation.,False
2018,mcommmnm,RECOMMENDATION,True
2019,The,The,False
2020,EMC,EMC,False
2021,recoasends,recoassends,False
2022,approval,approval,False
2023,of,of,False
2024,CMA,CMA,False
2025,unplementlng,implementing,True
2026,a,a,True
2027,new,new,False
2028,waste,waste,False
2029,mlnlmlzatlon,minimization,True
2030,rogram.,program.,False
2031,v11.,VII.,False
2032,ACTION,ACTION,False
2033,Rmvmm,REQUIRED,True
2034,cm,CMA,True
2035,cm,CMA,True
2036,EXHIBIT,EXHIBIT,False
2037,CONCEPTS,CONCEPTS,False
2038,TOR,TOR,False
2039,magma,FEDERAL,False
2040,cnoumuwnmz,GROUNDWATER,False
2041,LEGKSTATIDN,LEG!STATION,False
2042,1.,I.,True
2043,Background,Background,False
2044,C1.t1.2an5,Ci.ti.2ans,True
2045,an,and,False
2046,publlc,public,False
2047,offlclals,officials,True
2048,um,vitw,False
2049,groundwater,groundwater,False
2050,contamlnatlon,contamination,False
2051,as,as,False
2052,a,a,True
2053,issue,issue,False
2054,almed,aimed,False
2055,a.,at,False
2056,commerclal,commercial,False
2057,and,and,False
2058,1ndustrlal,industrial,False
2059,sources.,sources.,False
2060,Several,Several,False
2061,feder.l,federal,False
2062,groundwater,groundwater,False
2063,"mus,","bills,",False
2064,1ntroduced,introduced,False
2065,1n,in,False
2066,the,the,False
2067,94th,94th,False
2068,"Congress,","Congress,",False
2069,will,will,False
2070,serve,serve,False
2071,to,to,False
2072,focus,focus,False
2073,future,future,False
2074,groundwater,groundwater,False
2075,debates.,debates.,False
2076,Senator,Senator,False
2077,Purenberger,Purenberger,False
2078,federal,federal,False
2079,grounwater,groundwater,False
2080,mu,bill,False
2081,early,early,False
2082,1n,in,False
2083,tha,tha,False
2084,100th,100th,True
2085,Congress.,Congress.,False
2086,Slmllar,Similar,True
2087,mus,bills,False
2088,Will,will,False
2089,be,be,False
2090,1ntroduced,introduced,False
2091,1n,in,False
2092,the,the,False
2093,House.,House.,False
2094,Groundwater,Groundwater,False
2095,leglslatlon,legislation,False
2096,could,could,False
2097,unposa,imposa,False
2098,product,product,False
2099,usa,usa,False
2100,restrlctlns,restrictions,True
2101,"(e.g.,","(e.g.,",True
2102,"pestlcldes,","pesticides,",True
2103,"detergents,","detergents,",False
2104,"solvents),","solvents),",True
2105,requlre,require,False
2106,addltlonal,additional,True
2107,prtectlon,protection,False
2108,or,or,False
2109,remedlatlon,remediation,False
2110,"actlvltles,","activities,",True
2111,and,and,False
2112,1ntroduce,introduce,False
2113,onerous,onerous,False
2114,Many,Many,False
2115,states,states,False
2116,h.ve,have,False
2117,or,or,False
2118,are,are,False
2119,enactlng,enacting,True
2120,groundwater,groundwater,False
2121,leglslatlon,legislation,False
2122,and,and,False
2123,are,are,False
2124,unplementlng,implementing,True
2125,roundwater,groundwater,False
2126,management,management,False
2127,programs.,programs.,False
2128,State,State,False
2129,efforts,efforts,False
2130,may,may,False
2131,establlsh,establish,True
2132,tha,tha,False
2133,need,need,False
2134,for,for,False
2135,star,water,False
2136,usa,usa,False
2137,"restrlctlons,","restrictions,",True
2138,land,land,False
2139,usa,usa,False
2140,plannlng,planning,True
2141,"declslons,","decisions,",False
2142,new,new,False
2143,Vlctlm,victim,True
2144,compen-atlon,compensation,False
2145,"concerns,","concerns,",False
2146,and,and,False
2147,51te*speclflc,site-specific,True
2148,regulatory,regulatory,False
2149,frameworks,frameworks,False
2150,whlch,which,True
2151,could,could,False
2152,in,be,False
2153,tlma/cost,tima/cost,False
2154,consumlng.,consuming.,True
2155,establlsh,establish,True
2156,proosed,proposed,False
2157,CMA,CMA,False
2158,federal,federal,False
2159,leglslatlve,legislative,False
2160,concepts,concepts,False
2161,and,and,False
2162,a,a,True
2163,leglslatlve,legislative,False
2164,strategy,strategy,False
2165,for,for,False
2166,artlclpatlon,participation,True
2167,1n,in,False
2168,tha,tha,False
2169,federal,federal,False
2170,groundwater,groundwater,False
2171,debate.,debate.,False
2172,vsmg,Using,True
2173,these,these,False
2174,"concepts,","concepts,",False
2175,am,CMA,False
2176,will,will,False
2177,strlve,strive,True
2178,m,to,True
2179,1nfluence,influence,False
2180,tha,tha,False
2181,Congresslonal,Congressional,False
2182,groundwater,groundwater,False
2183,debate,debate,False
2184,so,so,False
2185,tha,that,False
2186,any,any,False
2187,leglslatlon,legislation,False
2188,enacted,enacted,False
2189,resembles,resembles,False
2190,CMA'S,CMA's,True
2191,posltlon,position,False
2192,as,as,False
2193,closely,closely,False
2194,actlvaly,activaly,False
2195,1n,in,False
2196,te,the,False
2197,federal,federal,False
2198,groundwater,groundwater,False
2199,debate,debate,False
2200,durlng,during,False
2201,the,the,False
2202,100th,100th,True
2203,Congress.,Congress.,False
2204,Early,Early,False
2205,partlclatlon,participation,True
2206,1n,in,False
2207,tha,tha,False
2208,debate,debate,False
2209,will,will,False
2210,hal'p,hal'p,False
2211,CMA,CMA,False
2212,focus,focus,False
2213,the,the,False
2214,emerglng,emerging,True
2215,dlscusslons,discussions,False
2216,ad,and,False
2217,will,will,False
2218,1dentlfy,identify,True
2219,CMA,CMA,False
2220,as,aa,False
2221,an,an,False
2222,1nvolved,involved,False
2223,knowledgeable,knowledgeable,False
2224,party.,party.,False
2225,II.,II.,True
2226,Slmary,Simary,False
2227,of,of,False
2228,CMA'S,CMA's,True
2229,Concepts,Concepts,False
2230,for,for,False
2231,Federal,Federal,False
2232,Groundwater,Groundwater,False
2233,Leglslatlon,Legislation,False
2234,m,to,True
2235,reslde,reside,False
2236,Hit,with,False
2237,the,the,False
2238,states.,states.,False
2239,Each,Each,False
2240,state,state,False
2241,should,should,False
2242,develop,develop,False
2243,and,and,False
2244,Implement,Implement,False
2245,a,a,True
2246,comprehenslve,comprehensive,False
2247,groundwater,groundwater,False
2248,management,management,False
2249,program.,program.,False
2250,A,A,True
2251,state,state,False
2252,groundwater,groundwater,False
2253,lzatlon,ization,False
2254,and,and,False
2255,p,planning;,True
2256,annlngi,(2),True
2257,usa,usa,False
2258,of,of,False
2259,approprlate,appropriate,False
2260,groundwater,groundwater,False
2261,objectlves,objectives,False
2262,and,and,False
2263,1nterstate,interstate,False
2264,gr-undweter,groundweter,False
2265,1mpacts.,impacts.,False
2266,Fadsral,Fadsral,False
2267,ancs,assistancs,False
2268,should,should,False
2269,ha,ba,False
2270,avaliable,available,False
2271,to,to,False
2272,help,help,False
2273,the,the,False
2274,states,states,False
2275,perform,perform,False
2276,these,these,False
2277,tasks.,tasks.,False
2278,ms,This,True
2279,asslstance,assistance,True
2280,cen,cen,False
2281,1nclude:,include:,False
2282,(17,(1),True
2283,federal,federal,False
2284,fundlng,funding,True
2285,to,to,False
2286,35515:,assist,True
2287,crlterla,criteria,False
2288,and,and,False
2289,tandards,standards,False
2290,for,for,False
2291,states',states',False
2292,use,use,False
2293,1n,in,False
2294,maklng,making,False
2295,groundwater,groundwater,False
2296,protectlon,protection,False
2297,and,and,False
2298,remedlatl-n,remediation,False
2299,declslons.,decisions.,False
2300,Howsver.,"Howsver,",False
2301,ths,ths,True
2302,federal,federal,False
2303,1nvolvement,involvement,False
2304,should,should,False
2305,not,not,False
2306,1nclude,include,False
2307,the,the,False
2308,alllty,ability,True
2309,to,to,False
2310,make,make,False
2311,declslons,decisions,False
2312,for,for,False
2313,the,the,False
2314,stats,state,False
2315,about,about,False
2316,the,the,False
2317,most,most,False
2318,approprlate,appropriate,False
2319,w.y,way,False
2320,to,to,False
2321,1mplement,implement,False
2322,the,the,False
2323,components,components,False
2324,of,of,False
2325,the,the,False
2326,state,state,False
2327,program.,program.,False
2328,cm,CMA,True
2329,III.,III.,True
2330,TIjm,TIjm,False
2331,Schdule,Schedule,False
2332,Groundwater,Groundwater,False
2333,H11,will,True
2334,in,b«,False
2335,addraased,addraased,False
2336,as,as,False
2337,a,a,True
2338,kay,kay,False
2339,lssue,issue,False
2340,1n,in,False
2341,tha,tha,False
2342,100th,100th,True
2343,Congress.,Congress.,False
2344,To,To,False
2345,ensure,ensure,False
2346,tha,that,False
2347,CMA,CMA,False
2348,has,has,False
2349,an,an,False
2350,actlve,active,False
2351,Volce,voice,False
2352,1n,in,False
2353,the,the,False
2354,"debatE,","debate,",False
2355,CMA...5,CMA’s,True
2356,federal,federal,False
2357,advocacy,advocacy,False
2358,concpts,concepts,True
2359,need,need,False
2360,to,to,False
2361,be,be,False
2362,approved,approved,False
2363,early,early,False
2364,1n,in,False
2365,1937.,1987.,True
2366,IV.,IV.,True
2367,Recoenend.t,Recoenendat,False
2368,lon,ion,False
2369,Tha,Tha,False
2370,EMC,EMC,False
2371,has,has,False
2372,r-Vlewed,reviewed,False
2373,and,and,False
2374,approved,approved,False
2375,these,these,False
2376,concepts,concepts,False
2377,for,for,False
2378,federal,federal,False
2379,groundwater,groundwater,False
2380,l-glslatlon.,legislation.,True
2381,The,The,False
2382,EMC,EMC,False
2383,recommends,recommends,False
2384,approval,approval,False
2385,of,of,False
2386,the,the,False
2387,concepts,concepts,False
2388,paper.,paper.,False
2389,Approve,Approve,False
2390,CMA'S,CMA's,True
2391,concepts,concepts,False
2392,for,for,False
2393,federal,federal,False
2394,groundwater,groundwater,False
2395,leglslatlon.,legislation.,False
2396,cm,CMA,True
2397,cm,CMA,True
2398,Concepts,Concepts,False
2399,for,for,False
2400,ederal,Federal,False
2401,Groundwater,Groundwater,False
2402,Leglslatlon,Legislatlon,False
2403,State,State,False
2404,Groundw.ter,Groundwater,True
2405,Management,Management,False
2406,Prograa,Prograa,False
2407,Each,Each,False
2408,stats,stata,False
2409,sh-uld,should,False
2410,davalop,davalop,False
2411,a,a,True
2412,groundwater,groundwater,False
2413,management,management,False
2414,program.,program.,False
2415,Developman,Oevelopman,False
2416,and,and,False
2417,1mplement.tlon,implementation,True
2418,of,of,False
2419,the,the,False
2420,program,program,False
2421,would,would,False
2422,be,be,False
2423,the,the,False
2424,responslblllty,responsibility,True
2425,of,of,False
2426,the,the,False
2427,state;,state;,False
2428,but,but,False
2429,feeral,federal,False
2430,asslstance,assistance,True
2431,should,should,False
2432,be,be,False
2433,avaliable,available,False
2434,to,to,False
2435,help,help,False
2436,the,the,False
2437,state,state,False
2438,perform,perform,False
2439,these,these,False
2440,tasks.,tasks.,False
2441,Fallure,Failure,False
2442,by,by,True
2443,the,the,False
2444,state,state,False
2445,to,to,False
2446,develop,develop,False
2447,a,a,True
2448,program,program,False
2449,would,would,False
2450,1mplementat1-,implementation.,False
2451,A,A,True
2452,program,program,False
2453,to,to,False
2454,characterlze,characterize,False
2455,state,state,False
2456,groundwater,groundwater,False
2457,resources,resources,False
2458,to,to,False
2459,the,the,False
2460,extent,extent,False
2461,necessary,necessary,False
2462,for,for,False
2463,state,state,False
2464,plannlng.,planning.,True
2465,Use,Use,False
2466,of,of,False
2467,approrlate,appropriate,False
2468,groundwater,groundwater,False
2469,objectlves,objectives,False
2470,and,and,False
2471,standards.,standards.,False
2472,A,A,True
2473,prograa,prograa,False
2474,to,to,False
2475,protect,protect,False
2476,state,state,False
2477,groundwater,groundwater,False
2478,resources,resources,False
2479,from,from,False
2480,sources,sources,False
2481,of,of,False
2482,c-ntamlnatlon.,contamination.,False
2483,A,A,True
2484,process,process,False
2485,to,to,False
2486,address,address,False
2487,groundwater,groundwater,False
2488,remedlatlon,remediation,False
2489,needs.,needs.,False
2490,A,A,True
2491,groundwate,groundwater,False
2492,monltorlng,monitoring,False
2493,program.,program.,False
2494,A,A,True
2495,process,process,False
2496,to,to,False
2497,address,address,False
2498,1nterstate,interstate,False
2499,groundwater,groundwater,False
2500,Impacts.,Impacts.,False
2501,The,The,False
2502,followln,following,False
2503,are,are,False
2504,detalled,detailed,False
2505,descrlptlons,descriptions,True
