,Tesseract,Ground_Truth
1356,1nvest1gatlon,investigation
1357,Presldent,President
1358,obllged,obliged
1359,thls,this
1360,Within,within
1361,speclflc,specific
1362,perlod,period
1363,Sampllng,Sampling
1364,o,of
1365,Leglslatlve,Legislative
1366,prposals,proposals
1367,establlsh,establish
1368,deadllnes,deadlines
1369,Presldent1l,Presidential
1370,actlon,action
1371,requlrement,requirement
1372,Presldent,President
1373,Within,within
1374,recelvlng,receiving
1375,advlce,advice
1376,suggestlo,suggestion
1377,establlsh,establish
1378,Bniday,90day
1379,deadllne,deadline
1380,1m7,im
1381,uld,would
1382,requlre,require
1383,Hlthln,within
1384,recelvlng,receiving
1385,he,the
1386,recommendatlons,recommendations
1387,Unlted,United
1388,Sttes,States
1389,1n,in
1390,tunes,times
1391,natlonal,national
1392,Governmen,Government
1393,competltlon,competition
1394,hlnder,hinder
1395,Ihese,these
1396,essentlal,essential
1397,Leglslatln,Legislation
1398,provlde,provide
1399,fr,for
1400,deadllnes,deadlines
1401,Admlnlstratlon,Administration
1402,questlons,questions
1403,natlonal,national
1404,securlty,security
1405,unports,imports
1406,1n,in
1407,tlmely,timely
1408,1nefect1ve,ineffective
1409,Since,since
1410,vsm,USTR
1411,Admlnlstratlon,Administration
1412,ractlcal,practical
1413,wlthout,without
1414,Presldents,Presidents
1415,authorlty,authority
1416,1nto,into
1417,bemg,being
1418,essentlal,essential
1419,m,to
1420,natlonal,national
1421,securlty,security
1422,lssue,issue
1423,natlonal,national
1424,securlty,security
1425,forelgn,foreign
1426,prles,prices
1427,questlon,question
1428,natlonal,national
1429,securlty,security
1430,protectagalnst,protectagainst
1431,dlsruptlo,disruption
1432,Expanslon,Expansion
1433,followlng,following
1434,ana,
1435,a,Private
1436,1n1tlate,initiate
1437,Sectlon,Section
1438,Within,within
1439,declslon,decision
1440,t,to
1441,mm,with
1442,1nvest1gatlon,investigation
1443,temlnate,terminate
1444,Presldent,President
1445,whlch,which
1446,sak,sake
1447,recommendatlons,recommendations
1448,Presldent,President
1449,recommendtlons,recommendations
1450,Presldent,President
1451,ecommendatlon,recommendation
1452,Within,within
1453,publlc,public
1454,cm,CMA
1455,cm,CMA
1456,EXHIBIT,EXHIBIT
1457,Amerlcan,American
1458,atlonal,National
1459,Precautlonary,Precautionary
1460,labellng,labeling
1461,Industrlal,Industrial
1462,Chemlcals,Chemicals
1463,llnes,lines
1464,fo,for
1465,chemlcal,chemical
1466,1ndustry,industry
1467,Natlonal,National
1468,Precautlonary,Precautionary
1469,Labellng,Labeling
1470,Industr1l,Industrial
1471,Chemlcals,Chemicals
1472,guldellnes,guidelines
1473,Voluntary,voluntary
1474,consensu,consensus
1475,ausplces,auspices
1476,Amerlcan,American
1477,Natlonal,National
1478,Standard,Standards
1479,Instltute,Institute
1480,M517,ANSI
1481,publlshed,published
1482,1n,in
1483,extenslVly,extensively
1484,revlsed,revised
1485,cm,CMA
1486,Commlttees,Committees
1487,Labellng,Labeling
1488,presentatlon,presentation
1489,whlch,which
1490,companles,companies
1491,1nterestd,interested
1492,1ndustry,industry
1493,muons,unions
1494,agencles,agencies
1495,coalltlons,coalitions
1496,professlonal,professional
1497,socletles,societies
1498,revlew,review
1499,Vote,vote
1500,stanard,standard
1501,Flnal,Final
1502,submlsslon,submission
1503,Revlew,Review
1504,projects,projected
1505,m1d71987,mid1987
1506,part1culrly,particularly
1507,chemlcal,chemical
1508,1ndustry,industry
1509,followlng,following
1510,Cosstunlcatlon,Cosstunication
1511,requlres,requires
1512,labellng,labeling
1513,Eleld,field
1514,1nspectors,inspectors
1515,lssued,issued
1516,altatlons,citations
1517,companle,companies
1518,Varlety,variety
1519,labellng,labeling
1520,Violations,violations
1521,1nclud1ng,including
1522,arget,target
1523,Harnlngs,warnings
1524,perfmanceor1ented,performanceoriented
1525,Communist,Communica
1526,llnes,lines
1527,1n,in
1528,provlde,provide
1529,guldance,guidance
1530,flexlblllty,flexibility
1531,m,to
1532,cm,CMA
1533,membr,member
1534,companles,companies
1535,111g1ms,litigious
1536,1ndustry,industry
1537,llablllty,liability
1538,occupatlnal,occupational
1539,lllnesses,illnesses
1540,1ndustry,industry
1541,rlsk,risk
1542,allure,failure
1543,o,to
1544,Eulflll,fulfill
1545,pnrmny,PRIMARY
1546,llgh,light
1547,lssues,issues
1548,llsted,listed
1549,labelln,labeling
1550,chronlc,chronic
1551,azards,hazards
1552,Guldanc,Guidance
1553,1mmedlate,immediate
1554,acute7,acute
1555,revlsed,revised
1556,posslble,possible
1557,guldellnes,guidelines
1558,1n,in
1559,compare,compared
1560,compllance,compliance
1561,Hlth,with
1562,statute,statutes
1563,DSKA,OSKA
1564,Comnunlcatlon,Comnunication
1565,pm,FIFRA
1566,CT,OCT
1567,labellng,labeling
1568,requlrements,requirements
1569,ADVOCAC,ADVOCACY
1570,Announcment,Announcement
1571,avallablllty,availability
1572,1n,in
1573,journal,journals
1574,approprlate,appropriate
1575,offlclals,officials
1576,1n,in
1577,requlret,requiredt
1578,submlsslon,submission
1579,revlsed,revised
1580,labelln,labeling
1581,revlew,review
1582,Amerlcan,American
1583,Natlonal,National
1584,cm,CMA
1585,cm,CMA
1586,camrcm,CHEMICAL
1587,pnouvcmzs,PRODUCERS
1588,mm,FAIR
1589,sammm,SHARE
1590,55mm,500M
1591,s,TO
1592,a,TO
1593,To,TO
1594,,
1595,PRoosED,PROPOSED
1596,cm,CMA
1597,CLEAN,CLEAN
1598,soURcEs,SOURCES
1599,cm,CMA
1600,nonmnsumous,CONTRIBUTIONS
1601,DTHE,OTHER
1602,coumnsmmus,CONTRIBUTIONS
1603,TDTAI,TOTAL
1604,exhllt,exhibit
1605,MARKEFBASED,MARKETBASED
1606,INTEREST,INTEREST
1607,SPECAL,SPECIAL
1608,ADVANTAGEs,ADVANTAGES
1609,couvmmm,CONVENIENT
1610,pruent,prudent
1611,BE,8E
1612,t,it
1613,Chemlcal,Chemical
1614,Assoclatlon,Association
1615,THREFDRE,THEREFORE
1616,Dranlzlng,Organizing
1617,1n,in
1618,whlch,which
1619,emloyees,employees
1620,1nd1v1dually,individually
1621,1n,in
1622,TE,THE
1623,PROGRAM,PROGRAM
1624,on,OR
1625,ALLDTMENTS,ALLOTMENTS
1626,PTICIPATING,PARTICIPATING
1627,A,CMA
